api_uri,congress,dw_nominate,gender,id,name,party,seniority
https://api.propublica.org/congress/v1/members/B000575.json,115,0.43,M,B000575,Roy Blunt,R,7
https://api.propublica.org/congress/v1/members/B001288.json,115,-0.612,M,B001288,Cory Booker,D,5
https://api.propublica.org/congress/v1/members/B001236.json,115,0.401,M,B001236,John Boozman,R,7
https://api.propublica.org/congress/v1/members/B000944.json,115,-0.438,M,B000944,Sherrod Brown,D,11
https://api.propublica.org/congress/v1/members/B001135.json,115,0.453,M,B001135,Richard Burr,R,13
https://api.propublica.org/congress/v1/members/C000127.json,115,-0.293,F,C000127,Maria Cantwell,D,17
https://api.propublica.org/congress/v1/members/C001047.json,115,0.261,F,C001047,Shelley Capito,R,3
https://api.propublica.org/congress/v1/members/C000141.json,115,-0.327,M,C000141,Benjamin Cardin,D,11
https://api.propublica.org/congress/v1/members/C000174.json,115,-0.174,M,C000174,Thomas Carper,D,17
https://api.propublica.org/congress/v1/members/C001070.json,115,-0.304,M,C001070,Bob Casey,D,11
https://api.propublica.org/congress/v1/members/C001075.json,115,0.452,M,C001075,Bill Cassidy,R,3
https://api.propublica.org/congress/v1/members/C000567.json,115,0.287,M,C000567,Thad Cochran,R,39
https://api.propublica.org/congress/v1/members/C001035.json,115,0.111,F,C001035,Susan Collins,R,21
https://api.propublica.org/congress/v1/members/C001088.json,115,-0.24,M,C001088,Christopher Coons,D,9
https://api.propublica.org/congress/v1/members/C001071.json,115,0.395,M,C001071,Bob Corker,R,11
https://api.propublica.org/congress/v1/members/C001056.json,115,0.495,M,C001056,John Cornyn,R,15
https://api.propublica.org/congress/v1/members/C001113.json,115,-0.395,F,C001113,Catherine Cortez Masto,D,1
https://api.propublica.org/congress/v1/members/C001095.json,115,0.613,M,C001095,Tom Cotton,R,3
https://api.propublica.org/congress/v1/members/C000880.json,115,0.509,M,C000880,Michael Crapo,R,19
https://api.propublica.org/congress/v1/members/C001098.json,115,0.818,M,C001098,Ted Cruz,R,5
https://api.propublica.org/congress/v1/members/D000618.json,115,0.543,M,D000618,Steve Daines,R,3
https://api.propublica.org/congress/v1/members/D000607.json,115,-0.119,M,D000607,Joe Donnelly,D,5
https://api.propublica.org/congress/v1/members/D000622.json,115,-0.32,F,D000622,Tammy Duckworth,D,1
https://api.propublica.org/congress/v1/members/D000563.json,115,-0.363,M,D000563,Richard Durbin,D,21
https://api.propublica.org/congress/v1/members/E000285.json,115,0.541,M,E000285,Michael Enzi,R,21
https://api.propublica.org/congress/v1/members/E000295.json,115,0.514,F,E000295,Joni Ernst,R,3
https://api.propublica.org/congress/v1/members/F000062.json,115,-0.27,F,F000062,Dianne Feinstein,D,25
https://api.propublica.org/congress/v1/members/F000463.json,115,0.466,F,F000463,Deb Fischer,R,5
https://api.propublica.org/congress/v1/members/F000444.json,115,0.855,M,F000444,Jeff Flake,R,5
https://api.propublica.org/congress/v1/members/F000457.json,115,-0.4,M,F000457,Al Franken,D,9
https://api.propublica.org/congress/v1/members/G000562.json,115,0.454,M,G000562,Cory Gardner,R,3
https://api.propublica.org/congress/v1/members/G000555.json,115,-0.412,F,G000555,Kirsten Gillibrand,D,9
https://api.propublica.org/congress/v1/members/G000359.json,115,0.408,M,G000359,Lindsey Graham,R,15
https://api.propublica.org/congress/v1/members/G000386.json,115,0.343,M,G000386,Charles Grassley,R,37
https://api.propublica.org/congress/v1/members/H001075.json,115,-0.694,F,H001075,Kamala Harris,D,1
https://api.propublica.org/congress/v1/members/H001076.json,115,-0.258,F,H001076,Margaret Hassan,D,1
https://api.propublica.org/congress/v1/members/H000338.json,115,0.382,M,H000338,Orrin Hatch,R,41
https://api.propublica.org/congress/v1/members/H001046.json,115,-0.303,M,H001046,Martin Heinrich,D,5
https://api.propublica.org/congress/v1/members/H001069.json,115,-0.122,F,H001069,Heidi Heitkamp,D,5
https://api.propublica.org/congress/v1/members/H001041.json,115,0.463,M,H001041,Dean Heller,R,7
https://api.propublica.org/congress/v1/members/H001042.json,115,-0.485,F,H001042,Mazie Hirono,D,5
