congress,date,democrats_no,democrats_yes,independent_no,independent_yes,month,republican_no,republican_yes,result,total_no,total_not_voting,total_yes,vote_type,vote_uri,year
107,2001-06-22,0,47,0,0,6,1,42,Agreed to,1,10,89,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/195.json,2001
107,2001-06-21,0,49,0,0,6,45,3,Sustained,45,3,52,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/194.json,2001
107,2001-06-21,0,50,0,1,6,0,47,Agreed to,0,2,98,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/193.json,2001
107,2001-06-14,2,47,0,1,6,6,43,Passed,8,1,91,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/192.json,2001
107,2001-06-14,2,47,0,1,6,45,4,Agreed to,47,1,52,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/191.json,2001
107,2001-06-14,41,8,1,0,6,5,43,Agreed to,47,2,51,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/190.json,2001
107,2001-06-14,42,8,1,0,6,6,43,Agreed to,49,0,51,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/189.json,2001
107,2001-06-14,41,9,1,0,6,8,41,Rejected,50,0,50,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/188.json,2001
107,2001-06-14,19,31,0,1,6,45,4,Rejected,64,0,36,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/187.json,2001
107,2001-06-13,3,46,0,1,6,47,2,Rejected,50,1,49,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/186.json,2001
107,2001-06-13,48,1,1,0,6,1,48,Rejected,50,1,49,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/185.json,2001
107,2001-06-13,3,45,0,1,6,48,1,Rejected,51,2,47,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/184.json,2001
107,2001-06-13,29,21,1,0,6,48,1,Rejected,78,0,22,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/183.json,2001
107,2001-06-13,0,49,0,1,6,8,41,Agreed to,8,1,91,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/182.json,2001
107,2001-06-12,0,49,0,1,6,46,2,Agreed to,46,2,52,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/181.json,2001
107,2001-06-12,8,42,1,0,6,49,0,Rejected,58,0,42,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/180.json,2001
107,2001-06-12,46,3,1,0,6,11,38,Rejected,58,1,41,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/179.json,2001
107,2001-06-11,4,42,1,0,6,31,15,Agreed to,36,6,57,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/178.json,2001
107,2001-06-11,0,45,0,1,6,0,47,Agreed to,0,7,93,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/177.json,2001
107,2001-06-07,24,23,1,0,6,46,0,Rejected,71,6,23,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/176.json,2001
107,2001-06-07,0,50,0,1,6,1,45,Agreed to,1,3,96,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/175.json,2001
107,2001-06-07,11,39,1,0,6,43,4,Rejected,55,2,43,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/174.json,2001
107,2001-06-06,43,7,1,0,6,14,33,Rejected,58,2,40,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/173.json,2001
107,2001-06-06,6,44,0,1,6,33,14,Agreed to,39,2,59,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/172.json,2001
107,2001-06-06,0,50,1,0,6,38,7,Agreed to,39,4,57,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/171.json,2001
107,2001-07-31,1,49,0,1,7,47,2,Agreed to,48,0,52,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/261.json,2001
107,2001-07-30,0,49,0,1,7,2,45,Agreed to,2,3,95,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/260.json,2001
107,2001-07-27,1,47,0,1,7,26,9,Rejected,27,16,57,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/259.json,2001
107,2001-07-27,0,48,0,1,7,0,39,Agreed to,0,12,88,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/258.json,2001
